type,location_name,region,latitude,longitude
Brewpub,101 Brewery,WA,47.822407,-122.875356
Brewpub,122 West Brewing Co,WA,48.762557,-122.485773
Brewpub,12Degree Brewing,CO,39.978215,-105.131876
Brewpub,15 24 Brew House,KS,39.376021,-97.127491
Brewpub,16 Stone Brewpub,NY,43.241849,-75.256302
Brewpub,1718 Ocracoke Brewing,NC,35.107469,-75.971869
Brewpub,1787 Brewing Company,PA,40.554332,-75.981847
Brewpub,1849 Brewing Company,CA,39.232567,-121.036925
Brewpub,18th Ward Brewing Co,NY,40.71952,-73.93951
Brewpub,2 Feet Brewing Company,ME,44.800217,-68.772745
Brewpub,2 Silos Brewing Company,VA,38.742953,-77.521766
Brewpub,20 Corners Brewing LLC,WA,47.767961,-122.152115
Brewpub,210 Brewing Co,WA,48.214312,-122.183555
Brewpub,21st Amendment Brewery Cafe,CA,37.782519,-122.392458
Brewpub,22 Northmen Brewing Company,MN,45.960645,-95.394523
Brewpub,23rd Street Brewery,KS,38.943035,-95.281089
Brewpub,256 North Restaurant,CA,38.236996,-122.641663
Brewpub,2nd Story Brewing Company,PA,39.948429,-75.14354
,2x4 Brew Pub,NC,35.503476,-82.522345
Brewpub,3 Bridges Brewing,FL,27.055425,-82.411165
Brewpub,3 Keys Brewing Company LLC,FL,27.496823,-82.532619
Brewpub,3 Trails Brewing,MO,39.092348,-94.415411
,300 Suns Brewing Company,CO,40.160015,-105.101114
Brewpub,350 Brewing Co,IL,41.559372,-87.791585
Brewpub,38 75 Brewing,DE,38.695389,-75.074929
Brewpub,3Halves Brewing Co LLC,MO,39.246178,-94.418929
Brewpub,406 Brewing Company,MT,45.693149,-111.034758
Brewpub,42 North Brewing Company,NY,42.768503,-78.608144
Brewpub,4204 Main Street Brewing Co,IL,38.554485,-90.03884
Brewpub,450 North Brewing Company Simmons Winery,IN,39.267845,-85.832148
Brewpub,47 Hills Brewing Co,CA,37.644259,-122.413626
Brewpub,49th State Brewing,AK,63.864155,-149.017728
Brewpub,49th State Brewing Anchorage,AK,61.219637,-149.895913
Brewpub,49th State Brewing The Rail,AK,61.221683,-149.896828
Brewpub,4kd Crick Brewery,OH,41.293132,-84.338728
Brewpub,5 Lakes Brewing Co,MI,42.723827,-85.70562
Brewpub,5280 Beer Company LLC Elevated Seltzer,CO,39.799465,-105.08241
Brewpub,54 40 Brewing Company,WA,45.564708,-122.326841
Brewpub,6 Bears & A Goat Brewing Company LLC,VA,38.362489,-77.51421
Brewpub,602 Brewing Company,TX,30.109938,-97.319889
,608 Brewing Company,WI,43.825843,-91.249917
,6th and La Brea,CA,34.064775,-118.343674
Brewpub,7 Dogs Brewpub,VA,36.947751,-81.085168
Brewpub,7 Hermits Brewing Company,CO,39.641374,-106.830703
Brewpub,7 Hills Brewing Company,IA,42.504452,-90.663629
Brewpub,73 & Main Restaurant and Brewery,NC,35.399192,-80.435344
Brewpub,78 Catawba Avenue,NC,35.627886,-82.182006
Brewpub,8 Bit Brewing Company,CA,33.529779,-117.176213
Brewpub,841 Brewhouse,WI,42.831967,-88.714011
Brewpub,903 Brewers,TX,33.617258,-96.607015
Brewpub,ALULU Brew Pub,IL,41.854735,-87.663448
Brewpub,Abbey Brewing Co,FL,25.789087,-80.14029
Brewpub,Aberrant Ales,MI,42.607506,-83.931495
Brewpub,Abner's Restaurant Inc Northern Michigan Beer,MI,43.690045,-85.814501
Brewpub,Abolitionist Ale Works,WV,39.288507,-77.860746
Brewpub,Abridged Beer Company,TN,35.931713,-84.015628
Brewpub,Accomplice Beer Company,WY,41.131921,-104.814084
Brewpub,Acorn Brewing,WA,47.237978,-122.293466
Brewpub,Adam's Northwest Bistro Twin Rivers Brewing,WA,47.855908,-121.971013
Brewpub,Adams Street Brewery,IL,41.879212,-87.628412
Brewpub,Adirondack Pub and Brewery,NY,43.418544,-73.713912
Brewpub,Against the Grain Public House,KY,38.230883,-85.7055
Brewpub,Aiken Brewing Co,SC,33.560277,-81.722672
Brewpub,Aisle 5,CA,37.812952,-122.246537
Brewpub,Akademia Brewing Company,GA,33.942246,-83.470412
Brewpub,Akronym Brewing LLC,OH,41.084754,-81.516075
Brewpub,Alaro Craft Brewery,CA,38.573028,-121.481119
Brewpub,Alcona Brew Haus,MI,44.67577,-83.290449
Brewpub,Ale Republic,NM,35.128612,-106.365144
,Alebird Taphouse and Brewery,MI,42.812508,-85.728662
Brewpub,Alesatian Brewing Co,VA,39.184578,-78.165748
Brewpub,Aletruism Brewing Oregon Public House,OR,45.571524,-122.658157
Brewpub,Alewife Brewing Company,NY,40.742181,-73.956119
Brewpub,Alibi Ale Works Truckee,CA,39.329325,-120.184277
Brewpub,Alien Brewpub,NM,35.104157,-106.571128
Brewpub,All Rise Brewing Co,IL,41.88636,-87.666716
Brewpub,All Sevens Brewing,NC,35.578738,-82.594365
Brewpub,Alpine Beer Company,CA,32.835173,-116.762674
Brewpub,Altitude Chophouse and Brewery,WY,41.310357,-105.595371
Brewpub,Alvarado Street Brewery & Grill,CA,36.599303,-121.894805
Brewpub,Amber Lantern Brewing Company,NY,42.740873,-78.132238
Brewpub,Amelia Island Brewing Company,FL,30.670992,-81.462381
Brewpub,American Craft Aleworks,FL,26.713131,-80.050859
Brewpub,American Harvest Brewpub At Schoolcraft College,MI,42.421314,-83.43122
Brewpub,American Icon Brewery,FL,27.637172,-80.396974
Brewpub,American Icon Brewery Kitchen & Taproom,FL,26.135544,-80.140708
Brewpub,Amerisports Brew Pub,MO,39.150526,-94.484816
Brewpub,Amery Ale Works,WI,45.293771,-92.396986
Brewpub,Amherst Brewing Co Hangar Pub and Grill,MA,42.372745,-72.531608
Brewpub,Amici Madison,GA,33.596152,-83.469346
Brewpub,Amity Ales Brewpub and Eatery,NY,40.678777,-73.417665
Brewpub,Amory's Tomb Brewing Co,MA,42.432037,-71.453188
Brewpub,Amplified Ale Works,CA,32.791005,-117.254253
Brewpub,Amplified Ale Works Miramar Studio,CA,32.886643,-117.15716
Brewpub,Amruth Brewery,PA,40.246381,-75.64894
Brewpub,Anacapa Brewing Co,CA,34.280533,-119.293607
Brewpub,Anacortes Brewery Rockfish Grill,WA,48.519249,-122.612834
