,Brewery_type,Brewery_name,State,Latitude,Longitude,Google_rating,Google_num_ratings,Yelp_rating,Yelp_num_ratings,Yelp_review_text,Overall_rating,Overall_num_ratings
0,Brewpub,101 Brewery,WA,47.822407,-122.87535600000001,4.4,93.0,4.0,90.0,"While we were disappointed that we did not get to try out the famous Pecker Pole Pale Ale (they were all out), we did enjoy a glass of their On-tap IPA and...",4.2,183.0
2,Brewpub,12Degree Brewing,CO,39.978215000000006,-105.131876,4.7,231.0,4.5,168.0,"While I have been there in person and it was wonderful; with a cool atmosphere, good beer and good  food what I am really writing this review about it an...",4.6,399.0
3,Brewpub,15 24 Brew House,KS,39.376021,-97.127491,4.6,130.0,4.5,7.0,I haven't had micro brew like this place in a long time. Beer was awesome. Service was great. Food was beyond good. This is definitely the gem in Clay...,4.55,137.0
4,Brewpub,16 Stone Brewpub,NY,43.241849,-75.256302,4.6,71.0,4.0,4.0,I'm torn.  Came here for Fathers Day and had some beer and food. My dad said best chicken tenders he ever had.  I had loaded nachos which was also good....,4.3,75.0
5,Brewpub,1718 Ocracoke Brewing,NC,35.107469,-75.971869,4.7,214.0,4.5,35.0,We've been here 4 times in 3 days. The food at Plum Point is delicious and the beer at 1718 is the best on the island. We are here during the Pandemic when...,4.6,249.0
6,Brewpub,1787 Brewing Company,PA,40.554332,-75.981847,4.5,518.0,3.5,43.0,"Excellent service, beer for every taste, good food and great ambiance. We dined in the ""alley"" next to the brewery due to Covid.  I had the cranberry wheat...",4.0,561.0
7,Brewpub,1849 Brewing Company,CA,39.232566999999996,-121.036925,3.9,131.0,3.0,106.0,Absolutely amazing spot. The outdoor patio is super rad and the expansion they did to make room for Covid is awesome. They bring in fantastic bands and the...,3.45,237.0
10,Brewpub,2 Silos Brewing Company,VA,38.742953,-77.521766,4.3,839.0,3.5,339.0,"For COVID, 2 silos is requiring reservations, spaced the tables and has reduced capacity.  This was my first visit here and the physical set up is so...",3.9,1178.0
12,Brewpub,210 Brewing Co,WA,48.214312,-122.183555,3.7,33.0,3.0,45.0,"Slow, slow, slow.

Took our waitress 10 minutes to acknowledge us. And when she did she just stuck her head around the corner and said she would be right...",3.35,78.0
13,Brewpub,21st Amendment Brewery Cafe,CA,37.782519,-122.392458,4.3,1227.0,3.5,2477.0,"Great beer selection, atmosphere, and food! Open with outdoor seating with current Covid-19 restrictions. It was such a nice little escape from all the...",3.9,3704.0
14,Brewpub,22 Northmen Brewing Company,MN,45.960645,-95.39452299999999,4.4,71.0,3.5,8.0,"Made a pit stop here on our road trip from Chicago to Fargo. This place was beautiful, clean and very spacious. The beer was excellent! We're plant based...",3.95,79.0
15,Brewpub,23rd Street Brewery,KS,38.943034999999995,-95.281089,4.3,441.0,3.5,175.0,"Always love this place! We sat outside the other day for dinner, but ended up moving inside due to the heat. Service was great and fast, she answered any...",3.9,616.0
16,Brewpub,256 North Restaurant,CA,38.236996000000005,-122.641663,4.2,192.0,3.5,273.0,"You can't go wrong with any of the food. Jan pours her heart and soul into everything on the menu. The wait staff is excellent, and the drinks are strong....",3.85,465.0
17,Brewpub,2nd Story Brewing Company,PA,39.948429,-75.14354,4.3,643.0,4.0,544.0,"I was really in the mood for a fried chicken sandwich, and my go to place Love & Honey was closed and not taking anymore delivery orders. So I went with 2nd...",4.15,1187.0
19,Brewpub,3 Bridges Brewing,FL,27.055425,-82.411165,1.0,1.0,4.0,146.0,"My husband picked up some tacos - haddock, chicken, octopus. I loved the haddock taco  I didn't try the others but he loved them. During this covid 19...",2.5,147.0
21,Brewpub,3 Trails Brewing,MO,39.092348,-94.41541099999999,4.8,94.0,4.5,11.0,"Great spot we found on the square! Big and spacious, lots of beers to choose from, and all the TV's you could ever want or need. You can bring in your own...",4.65,105.0
23,Brewpub,350 Brewing Co,IL,41.559371999999996,-87.791585,4.4,451.0,4.0,231.0,"I was coming here long before COVID and moved away a year ago. 

Upon my return? Different staff. Different menu.

Problem? Not at all. Still delicious....",4.2,682.0
24,Brewpub,38 75 Brewing,DE,38.695389,-75.074929,4.2,89.0,3.5,57.0,"Great food great drinks, our waiter Will was the best. Got the turkey burger with avocado and fruit salsa, it was delicious. Very clean facility. Service...",3.85,146.0
26,Brewpub,406 Brewing Company,MT,45.693149,-111.03475800000001,4.6,96.0,4.0,51.0,Pretty cool little hipsterish brewery in the cannery district. There is a good assortment of beers that you can sample before settling on a pint. Beware if...,4.3,147.0
27,Brewpub,42 North Brewing Company,NY,42.768503,-78.608144,4.5,249.0,4.0,116.0,I only got the chance to come here once before COVID and I can't wait to come back. We came during the summer time last year and really enjoyed the huge...,4.25,365.0
29,Brewpub,4204 Main Street Brewing Co,IL,38.554485,-90.03884000000001,4.5,78.0,3.5,242.0,"This place is amazing! There is SO much space and the COVID precautions are upheld well. There is an indoor dining area, ""indoor"" patio area, and a HUGE...",4.0,320.0
30,Brewpub,450 North Brewing Company Simmons Winery,IN,39.267845,-85.832148,4.4,465.0,4.0,171.0,"We pulled 450 North Brewery up on Harvest Host app and found this fabulous place to stay overnight. It's off the I-65 freeway just North of Columbus, IN....",4.2,636.0
31,Brewpub,47 Hills Brewing Co,CA,37.644259000000005,-122.41362600000001,4.6,174.0,4.5,199.0,"It's awesome that they are able to remain open during the pandemic. My wife and I are still relatively new to the neighborhood, and we rode our bikes here...",4.55,373.0
32,Brewpub,49th State Brewing,AK,63.864155000000004,-149.017728,4.5,725.0,4.0,262.0,This unique eatery just outside Denali National Park has something for just about every diet. I ordered the impossible burger with vegan cheese and...,4.25,987.0
33,Brewpub,49th State Brewing Anchorage,AK,61.219637,-149.89591299999998,4.5,4095.0,4.0,1056.0,"With most eateries and bars closed in Anchorage due to Covid, it felt great to be able to eat in a safe, open-air environment with great food, drinks, and...",4.25,5151.0
35,Brewpub,4kd Crick Brewery,OH,41.293132,-84.338728,4.8,53.0,4.0,3.0,"Great beer, great food, and great service!!  On a Golf Course.  Chophouse next door.  This place is very cool and relaxing!  Try the pretzel appetizer or...",4.4,56.0
36,Brewpub,5 Lakes Brewing Co,MI,42.723827,-85.70562,4.3,550.0,3.0,48.0,Just finished the Bacon Jam Burger garnished with Paddle Fries. I rate it DELICIOUS! Washed it down with Michigan IPA. The bartender was very friendly and...,3.65,598.0
43,Brewpub,7 Dogs Brewpub,VA,36.947751000000004,-81.08516800000001,4.4,406.0,4.0,40.0,"I was in the area for a work trip and found this great spot to stop for dinner before heading to my hotel. 

I was greeted by the staff with wonderful cheer...",4.2,446.0
44,Brewpub,7 Hermits Brewing Company,CO,39.641374,-106.830703,4.0,79.0,3.0,54.0,"Popular ""hang out"" in Eagle.  Good beer, and very good veggie burger!  Also enjoyed the Greek Salad.  Oh...  and the potato chips were great....  needed to...",3.5,133.0
48,Brewpub,8 Bit Brewing Company,CA,33.529779,-117.17621299999999,4.7,555.0,4.5,728.0,My go to spot for beer now. The food here is incredible and the staff does a great job of implementing COVID regulations and restrictions. Staff is always...,4.6,1283.0
49,Brewpub,841 Brewhouse,WI,42.831967,-88.714011,4.4,620.0,3.5,39.0,This place is incredible. Service was exceptional. Food was exceptional.  Do yourself a favor and go out and enjoy the outdoor dining.  Had the smoke...,3.95,659.0
50,Brewpub,903 Brewers,TX,33.617258,-96.607015,4.6,155.0,4.5,43.0,"Great place for take out,, right now with what's going on. The pizza is great...we had one with jalapeño, red onion and pepperoni and the other double...",4.55,198.0
51,Brewpub,ALULU Brew Pub,IL,41.854735,-87.663448,4.5,300.0,4.0,122.0,"I've told at least a dozen people about Alulu since we were there. 

The brewpub normally appears to have a nice, intimate indoor space; however since it's...",4.25,422.0
52,Brewpub,Abbey Brewing Co,FL,25.789087,-80.14029000000001,4.5,230.0,4.5,374.0,I've been coming here for about 10 years and I've always felt at home in this place. If you're looking for good beers and a great vibe this is the place....,4.5,604.0
53,Brewpub,Aberrant Ales,MI,42.607506,-83.931495,4.3,191.0,4.0,52.0,"My first experience going out after months of pandemic, at-home self entertainment!
We even arrived before opening and Annette let us sit down at the...",4.15,243.0
55,Brewpub,Abolitionist Ale Works,WV,39.288507,-77.86074599999999,4.6,165.0,4.5,82.0,"We stopped in after looking at houses in the area. There were instructions out front for social distancing. You ring the doorbell, and are quickly seated...",4.55,247.0
56,Brewpub,Abridged Beer Company,TN,35.931713,-84.015628,4.7,826.0,5.0,100.0,I just moved to Knoxville in the summer so I've only been to Abridged a few times during COVID. Let me just say that this business takes the pandemic very...,4.85,926.0
57,Brewpub,Accomplice Beer Company,WY,41.131921000000006,-104.814084,4.1,403.0,4.0,321.0,"If you're in the area, go to here! While traveling, I stopped in because they had a patio area and it was a nice day. I had a kick ass server (I think her...",4.05,724.0
58,Brewpub,Acorn Brewing,WA,47.237978000000005,-122.293466,4.8,89.0,4.5,26.0,I tired this place out during the COVID-19 outbreak for a growler. The beer is amazing! Please support this local brewery. The Beer is amazing.,4.65,115.0
60,Brewpub,Adams Street Brewery,IL,41.879212,-87.628412,4.6,46.0,4.0,24.0,"Lately I've been stopping in for a beer at the bar, I'm so happy that you guys are open. I'm truly enjoying the beers you brew.",4.3,70.0
61,Brewpub,Adirondack Pub and Brewery,NY,43.418544,-73.713912,4.2,600.0,3.5,470.0,Amazing experience! Delicious food & drinks & all star service by Karly & the Saturday morning team. They politely accommodated 10 adults & 5 kids...,3.85,1070.0
63,Brewpub,Aiken Brewing Co,SC,33.560277,-81.722672,4.2,230.0,3.5,138.0,I love this restaurant. I had the pleasure of coming here a few weeks ago and the server was extra wonderful polite patient and make sure that I was taking...,3.85,368.0
64,Brewpub,Aisle 5,CA,37.812952,-122.24653700000002,4.2,363.0,4.0,235.0,Ok..... now my sister and I were looking for wine and a salad.   We happened upon Aisle 5 Pub&Grill. We decided to go on in after looking at the menu...,4.1,598.0
65,Brewpub,Akademia Brewing Company,GA,33.942246000000004,-83.470412,4.6,806.0,4.0,74.0,"Great service. Food was excellent. IQ IPA was magnificent. Not a fan of mac and cheese but theirs was very good. 

Definitely a second stop in my future.",4.3,880.0
67,Brewpub,Alaro Craft Brewery,CA,38.573028,-121.48111899999999,4.5,230.0,4.5,296.0,"I visited Sacramento this weekend and my sister took me to her current favorite, Alaro. I totally understand why it's her favorite!

Alaro is in a storied...",4.5,526.0
68,Brewpub,Alcona Brew Haus,MI,44.67577,-83.290449,4.6,333.0,4.5,27.0,"Excellent veggie burger, Caesar salad & yummy thick-cut fries! Easy to order online. Friendly & mask-compliant curbside delivery.",4.55,360.0
69,Brewpub,Ale Republic,NM,35.128612,-106.365144,4.8,191.0,4.5,32.0,Out first time here and what a pleasant surprise this brewery was.  We tried their sweater weather Belgium style beer and was simply delicious.  We also...,4.65,223.0
71,Brewpub,Alesatian Brewing Co,VA,39.184578,-78.165748,4.7,49.0,4.5,29.0,"Had the BEST chicken caesar in my life here. I believe my server/ bartenders name was Stephanie (at least, that's what was on the bill) and she was amazing....",4.6,78.0
73,Brewpub,Alewife Brewing Company,NY,40.742181,-73.956119,5.0,2.0,4.0,308.0,"First time writing a review on Yelp!  In short, great local restaurant in LIC serving a good variety of BEER. My personal favorite food here is their...",4.5,310.0
74,Brewpub,Alibi Ale Works Truckee,CA,39.329325,-120.18427700000001,4.7,505.0,4.5,187.0,It is the best place to come after a long hike! Staff is super welcoming. We were a little hesitant to go to a brewery due to covid however they did specify...,4.6,692.0
75,Brewpub,Alien Brewpub,NM,35.104157,-106.571128,4.1,271.0,3.5,186.0,"It's a dope place for sure. I'm from Denver and done a lot of brewery hopping.
I'm glad to have come across this place. 
Got a beer flight and I must say,...",3.8,457.0
76,Brewpub,All Rise Brewing Co,IL,41.886359999999996,-87.66671600000001,4.4,49.0,4.5,98.0,This place was awesome and I felt super safe. Even got scolded (not really) by the employee monitoring the brew taps because I didn't follow directions...,4.45,147.0
78,Brewpub,Alpine Beer Company,CA,32.835173,-116.762674,4.5,379.0,4.0,492.0,"- Businesses operating during the pandemic -

Alpine Beer Company Tasting Room is open for beer to go!
  
They are offering one-cent growler fills to first...",4.25,871.0
80,Brewpub,Alvarado Street Brewery & Grill,CA,36.599303000000006,-121.894805,4.5,954.0,4.0,1388.0,"I moved into the area recently and my roommate recommended I try out Alvarado St Brewery for a date night with my gf, who doesn't normally like beer....",4.25,2342.0
81,Brewpub,Amber Lantern Brewing Company,NY,42.740873,-78.132238,4.3,75.0,4.5,26.0,"I'm not from the area, so I pulled up the yelp app to figure out where to go. The food here was very good, the chili was delicious, not too spicy. I also...",4.4,101.0
83,Brewpub,American Craft Aleworks,FL,26.713131,-80.050859,4.6,179.0,4.0,54.0,"Had a wonderful time here! My friends and I went for brunch, they didn't have their normal brunch due to covid I assume but no worries we still had...",4.3,233.0
84,Brewpub,American Harvest Brewpub At Schoolcraft College,MI,42.421314,-83.43122,4.8,66.0,4.0,22.0,I have a soft spot and lots of admiration for college students that work while putting themselves through school. Even more so when they incorporate feeding...,4.4,88.0
85,Brewpub,American Icon Brewery,FL,27.637171999999996,-80.396974,4.2,745.0,4.0,428.0,"We visit AIB every time we visit vero beach! All of the food is delicious, we have yet to eat something We don't like. We always have to order the pretzel...",4.1,1173.0
86,Brewpub,American Icon Brewery Kitchen & Taproom,FL,26.135544,-80.14070799999999,4.3,114.0,4.0,129.0,Customer service is everything! During covid it's hard to find places that adhere to precautions as well as GREAT Customer service. There were 7 of us at a...,4.15,243.0
87,Brewpub,Amerisports Brew Pub,MO,39.150526,-94.48481600000001,4.1,363.0,2.5,51.0,I have been a fan for along time.  Been going here for years.  I enjoy the staff!  The chef is awesome.  Brendon is who we usually go and see!  Bar tenders...,3.3,414.0
88,Brewpub,Amery Ale Works,WI,45.293771,-92.396986,4.7,203.0,4.5,15.0,We stopped at the ale works last Friday.  What a wonderful experience.  The bartender was great as was the entire vibe.  We will most definitely be back....,4.6,218.0
89,Brewpub,Amherst Brewing Co Hangar Pub and Grill,MA,42.372745,-72.53160799999999,4.2,456.0,3.5,136.0,"This has been our go to spot for a decade! Super quick service, very nice new location. It's huge! They have indoor games, pool tables, and arcades. U can...",3.85,592.0
90,Brewpub,Amici Madison,GA,33.596152000000004,-83.469346,4.2,485.0,3.5,75.0,Happened to be passing by and dropped into this restaurant for lunch. Like the Ambiance inside but decided to take table outside because the weather was...,3.85,560.0
91,Brewpub,Amity Ales Brewpub and Eatery,NY,40.678777000000004,-73.417665,4.5,460.0,4.0,203.0,"All i can say is...
I keep going back to try to find a bad meal... i've been going there since they opened and i hsvent  found one yet!

Great food, the...",4.25,663.0
94,Brewpub,Amplified Ale Works Miramar Studio,CA,32.886643,-117.15716,4.7,40.0,4.5,722.0,We first tried their beer at The Butchery at One Paseo. It was an expensive draft 'murky' beer that was pricey. I am not a big beer drinker but was blown...,4.6,762.0
96,Brewpub,Anacapa Brewing Co,CA,34.280533,-119.29360700000001,4.4,221.0,4.0,482.0,"Just had lunch, late lunch at that. First time sitting inside since COVID, it was open airy and comfortable. We split the Salomon Club and Jetty Fries, they...",4.2,703.0
97,Brewpub,Anacortes Brewery Rockfish Grill,WA,48.519249,-122.612834,4.2,410.0,3.5,319.0,"I had the pleasure of visiting the Anacortes Rockfish Grill yesterday. 

I ordered a glass of pineapple cider and a ""build your own marinara pizza"". I chose...",3.85,729.0
99,Brewpub,Angry Minnow The,WI,46.010523,-91.488924,4.4,386.0,3.5,161.0,"Angry Minnow is consistently amazing!  The drinks and food are healthy and delicious!  I love the sustainable approach they take. 
Bloody Mary's are my...",3.95,547.0
100,Brewpub,Angry Troll Brewing,NC,36.244395000000004,-80.848826,4.3,328.0,4.0,141.0,"Very good burger, wings and beer. Service was perfect and food came out fast. Get the boneless wings and jalapeño poppers",4.15,469.0
101,Brewpub,Animas Brewing Co,CO,37.279965000000004,-107.876846,4.4,490.0,4.0,137.0,"Cute, dog friendly place right by the River on Main Street. Animas Brewing Company has great prices for their craft brews and growlers to go. This was...",4.2,627.0
102,Brewpub,Anvil Brewing,TX,32.996399,-94.967261,4.5,239.0,4.0,20.0,"We enjoyed the most delicious reuben sandwiches and one was vegetarian! The Creme Brûlée Stout was fabulous and smooth, much better than Guinness on tap....",4.25,259.0
105,Brewpub,Appalachian Brewing Co Harrisburg,PA,40.265786,-76.875491,4.4,643.0,3.5,300.0,I had this place booked marked for a while now and I finally made my way here. I'm happy I didn't go to far out of my way for it but it was worth the...,3.95,943.0
106,Brewpub,Appalachian Brewing Co Lititz,PA,40.157723,-76.30042900000001,4.4,498.0,3.5,186.0,Great place for families! Social distancing measures in place including hand sanitizer before you even walk through the door! If you haven't tried the new...,3.95,684.0
108,Brewpub,Appleton Beer Factory,WI,44.261531,-88.414037,4.1,174.0,3.5,102.0,"Our experience was delightful with a caveat... we had time. I don't know if the day was particularly busy due to a bridal shower, Small Business Saturday...",3.8,276.0
109,Brewpub,Apponaug Brewing,RI,41.726657,-71.469227,4.6,189.0,4.5,119.0,"Stopped by with my family last Saturday and we had an all around fantastic experience. As places are just opening up post-COVID, we've been very selective...",4.55,308.0
110,Brewpub,Aquabrew,TX,29.881287,-97.940096,4.3,327.0,4.0,485.0,"Stopped in today for some drinks & brunch. Ordered the beer queso app, the AB Burger with a side of fries for my boyfriend, & the Portabella Burger for...",4.15,812.0
111,Brewpub,Arbor Brewing Company Plymouth Taproom,MI,42.369478,-83.46900600000001,4.4,199.0,4.0,56.0,This is a cool looking brewery with a nice staff. Our waitress was real. Even with everything going on she has jokes and beer beer recommendations. New...,4.2,255.0
112,Brewpub,Arcadia Smokehouse,MI,42.733894,-84.520802,4.0,636.0,3.0,44.0,"I really enjoyed my time here. The food was very good, and we especially enjoyed the Puffy Bread - I'll try not to crave that the next time I drink! The mac...",3.5,680.0
114,Brewpub,Arcadian Moon,MO,38.992703000000006,-93.709498,4.1,147.0,3.5,33.0,My best friend and I checked out this place this past weekend and it ended up being our favorite part of our weekend. Their pizza is really yum and the...,3.8,180.0
116,Brewpub,Arcadian Moon,MO,39.000403999999996,-93.753725,4.1,147.0,3.5,33.0,My best friend and I checked out this place this past weekend and it ended up being our favorite part of our weekend. Their pizza is really yum and the...,3.8,180.0
