,type,location_name,region,latitude,longitude,yelp_id,yelp_ave,yelp_reviews,Ratings,Review_Text
4000,Micro,Oakland United Beerworks,CA,37.794557,-122.272007,bP0Yky9-5Xyt_czQL4OE_w,5.0,31,5,"Extremely (and deliciously) satisfied with our last visit. Amid the recent state of events, we only had the option to get beer through the To-Go door; yet..."
4001,Micro,Oakshire Brewing,OR,44.073035,-123.140647,Na,Na,Na,Na,Na
4002,Micro,Oasis Brewery,CO,39.763085,-105.034926,4pwC95vDD83Pbq5V1qfvXA,4.5,49,5,Came here with a PubPass that was accepted graciously during these times. This was our first outing after all the Covid shut downs and the staff seemed very...
4003,Micro,Oasis Texas Brewing Company,TX,30.4044,-97.87256500000001,Z4CPbD4a-cR4JR8CH_c3PQ,4.0,341,4,"Cool spot with even cooler views. I'm not going to inundate this review with views that have been posted ten times over, but simply can confirm this is a..."
4004,Micro,Oasis Texas Brewing Company,TX,30.405687,-97.874059,Z4CPbD4a-cR4JR8CH_c3PQ,4.0,341,4,"Cool spot with even cooler views. I'm not going to inundate this review with views that have been posted ten times over, but simply can confirm this is a..."
4005,Micro,Oblivion Brewing Co,OR,44.088694,-121.29346100000001,brckntsI1MNb9ouTVkxy9Q,3.5,42,4,"Oblivion Brewing is small an friendly brewer tap room.  It's open 2-7PM Fri, Sat an Sun.  They offer pints or samplers that you can drink on premises.  Once..."
4006,,Obscure Oscillation Brewing Company,NY,41.693304,-73.915614,Na,Na,Na,Na,Na
4007,Micro,Occidental Brewing,OR,45.58893,-122.761773,tW9QC43er-ZXd7HBIGhW1g,4.0,96,5,Caught up with a friend I haven't seen for months and I think I found one of my new favorite German bars in the area (watch out Prost!). The brews were...
4008,Micro,Ocean Lab Brewing,PR,18.445063,-66.004625,Z-yA--Qj1Ye_XMx8Vce7Dg,4.5,74,5,"Most impressive: Great Micro Brewed Beers, and an excellent Bratwurst on a house made beer bun      (See picture) and a good calamari salad with giant..."
4009,Micro,Oconee Brewing Company,GA,33.577678999999996,-83.184102,q7AI5pvCuZ4OMigcPBqI7g,4.5,6,5,I really am glad that we stopped here to try some of the local beers. I ordered the habanero beer (to be honest I am not sure what type of beer it was - it...
4010,Micro,Odd Side Ales,MI,43.031332,-86.197089,Na,Na,Na,Na,Na
4011,,Odd Side Ales Production Facility,MI,43.031376,-86.197057,Na,Na,Na,Na,Na
4012,Micro,Odd13 Brewing Inc,CO,39.998395,-105.087877,Na,Na,Na,Na,Na
4013,,Odd13 Production Facility,CO,39.9843,-105.095766,Na,Na,Na,Na,Na
4014,,Odell Brewing Co Denver,CO,39.762175,-104.981007,lHPyFTcvSnyz5c7XKEYf-g,4.5,86,5,I make sure to stop by Odell in Rino whenever I'm in Denver. Such a great spot. Lots of of outdoor seating now (thanks to Covid) but even before a great...
4015,Micro,Odin Brewing Co,WA,47.458633,-122.252071,3dSlu89XgSzt9NkxVddAKw,4.0,209,4,I'm not a Beer Drinker but the princess found this wonderful beer place close to the mall. Odin Brewing Company is a very rustic restaurant bar primarily...
4016,,Off Color Brewing,IL,41.918741,-87.725248,FhvIE54uXdO6M_kJUefrOg,4.0,13,4,Off Color's facility is strictly a bottle shop with just a few offerings. Literally just one cooler full of things for sale. Prices are a buck or two less...
4017,Micro,Off Track Brewing Company,OH,39.118592,-84.522357,QMdo-3QBkEr3evb3PhJOLw,4.5,615,5,Wonderful first stop on our self-guided tour of the Brewery District in Cincy!!  Great industrial space (don't miss the views from the cozy rooftop!!)...
4018,,Off Kilter Brewing,IL,42.489171999999996,-89.061145,Na,Na,Na,Na,Na
4019,Micro,Ohana Brewing Co,CA,34.01552,-118.24105700000001,Na,Na,Na,Na,Na
4020,Micro,Ojai Valley Brewery,CA,34.446131,-119.23806499999999,9Jm4pl3cum2Ul2T8SL3bpw,3.5,534,4,"Eating solo, I decided to do tapas style so I could have room for dessert: gambas, bacon-wrapped dates, and a side of roasted veggies. And yes, it was worth..."
4021,Micro,Ola Brew Co,HI,19.646747,-155.99808000000002,XsPWqgzv1UqnKTCKM290hg,4.5,252,5,Born and raised here on the BI and I was so excited to try this place out during a visit back home. Beer was bomb. My flat bread was bomb. Good seating for...
4022,Micro,Old Bust Head Brewing Co,VA,38.744059,-77.67571600000001,Zz-Mnu54ypO-Z2UTr72grQ,4.5,137,5,"Old Bust Head has outstanding beers and seltzer's. However, I mainly came on here to give them an outstanding review regarding their COVID procedures. Every..."
4023,Micro,Old Forge Brewing Co,PA,40.962793,-76.61684100000001,T0edTnmDWEArhUp7tqXW8w,4.0,179,5,"My husband and I were staying in town to go to Knoebels and decided to come here for dinner. I am so glad we did!!! Our waiter was fantastic, the tables..."
4024,Micro,Old Hangtown Beer Works,CA,38.732231,-120.79354,Na,Na,Na,Na,Na
4025,,Old Skool Brewing,MT,46.368269,-104.272837,K9u_uoQn5y1HmEnlmatqbg,5.0,1,5,"This place is awesome! Supper strong local community! They have good beer, a few food options. They offer FREE WIFI and  POPCORN. What more can you ask for...."
4026,Micro,Old Trade Brewery,VA,38.518694,-77.907622,I4l1lyskQlFBVA_Y_ZQdNQ,4.5,42,5,"This a hidden gem in Culpeper! There are a good amount of beers on tap, great outdoor seating, and some indoor seating as well. They have axe throwing, a..."
4027,Micro,Ole Shed Brewing Company,TN,35.361181,-86.197122,mR_PPqYUr4W6w81r-q3NeA,5.0,1,5,We had seen this brewery and tried their delicious beer at local eateries. We hadn't made it in since the hours are limited to Friday and Saturday starting...
4028,Micro,Oliver Brewing Company,MD,39.314914,-76.553164,yb8lWa6Z6Y1g7SDA-9k_wQ,4.5,12,5,Stopped in to get some of their new release collaboration with Black Flag Brewing. Unfortunately take out only. But the beers were excellent as well as the...
4029,Micro,Ology Brewing Co,FL,30.456525,-84.281211,Na,Na,Na,Na,Na
4030,Micro,Olomana Brewing Co,HI,21.396503,-157.740599,asSgB69R5Ssj9xw0oJp_TQ,4.5,106,5,"Local beers with local ingredients and friendly staff, we're fortunate to have them here in Kailua (with a new location coming to the North Shore, too)...."
4031,Micro,Olvalde Farm & Brewing,MN,44.094565,-91.80982,Na,Na,Na,Na,Na
4032,Micro,Omaha Brewing Company,GA,32.141958,-85.00089100000001,Mp8vWw0Blmm1W2FH3dLE1w,4.5,20,5,"They have some good beer here. It's really country! Take me back to my roots is West TN beer drinking and music playing! Bring the pooch, dogs are always..."
