,location_name,google_name,Location,Average User Rating,Total User Rating
0,10 56 Brewing Company,10-56 Brewing Company,"{'lat': 41.2714471, 'lng': -86.6198986}",4.9,48
1,10 Barrel Brewing Co,10 Barrel Brewing Company Denver,"{'lat': 39.7594088, 'lng': -104.9855212}",4.5,700
2,10 Barrel Brewing Co Bend Pub,N/A,N/A,N/A,N/A
3,10 Barrel Brewing Co Denver,10 Barrel Brewing Company Denver,"{'lat': 39.7594088, 'lng': -104.9855212}",4.5,700
4,10 Barrel Brewing Co Portland,10 Barrel Brewing Company Denver,"{'lat': 39.7594088, 'lng': -104.9855212}",4.5,700
5,10 Torr Distilling and Brewing,N/A,N/A,N/A,N/A
6,101 Brewery,101 Brewery at Twana Road House,"{'lat': 47.8223941, 'lng': -122.875426}",4.4,93
7,1035 Brewing,N/A,N/A,N/A,N/A
8,105 West Brewing Co,105 West Brewing Company,"{'lat': 39.3811365, 'lng': -104.8677044}",4.9,304
9,10K Brewing,10K Brewing,"{'lat': 45.19826, 'lng': -93.389539}",4.6,331
10,10th District Brewing Company,10th District Brewing Company,"{'lat': 42.0938148, 'lng': -70.9678802}",4.8,42
11,11 Below Brewing Company,11 Below Brewing Company,"{'lat': 29.9514883, 'lng': -95.5186118}",4.8,253
12,12 Bones Brewing,12 Bones Brewing,"{'lat': 35.4662139, 'lng': -82.51642740000001}",4.6,35
13,12 Fox Beer Co,12 Fox Beer Co,"{'lat': 30.2568713, 'lng': -98.14433869999999}",4.8,161
14,12 Gates Brewing Company,12 Gates Brewing Company,"{'lat': 42.9538209, 'lng': -78.71289829999999}",4.6,267
15,12 West Brewing Company,N/A,N/A,N/A,N/A
16,12 West Brewing Company Production Facility,12 West Brewing Co.,"{'lat': 33.3216015, 'lng': -111.7267324}",4.8,186
17,122 West Brewing Co,122 West Brewing Co.,"{'lat': 48.7625675, 'lng': -122.4858342}",4.6,62
18,127 Brewing,127 Brewing,"{'lat': 42.2858925, 'lng': -84.4314728}",4.7,94
19,12Degree Brewing,12Degree Brewing,"{'lat': 39.9782385, 'lng': -105.1319916}",4.7,231
20,13 Below Brewery,13 Below Brewery,"{'lat': 39.1265728, 'lng': -84.70706349999999}",4.7,159
21,13 Point Brewing,13 Point Brewing Co.,"{'lat': 32.7427812, 'lng': -117.0249047}",4.6,77
22,13 Stripes Brewery,13 Stripes Brewery,"{'lat': 34.9197401, 'lng': -82.2845935}",4.7,311
23,13th Child Brewery,13th Child Brewery,"{'lat': 39.6832717, 'lng': -74.9917675}",4.6,79
24,14 Cannons Brewing Company,14 Cannons,"{'lat': 34.1551802, 'lng': -118.8020092}",4.8,113
25,14 Lakes Brewery,14 Lakes Brewery,"{'lat': 46.68701069999999, 'lng': -94.1122954}",4.6,64
26,1487 Brewery,N/A,N/A,N/A,N/A
27,14er Brewing Company,14er Brewing & Beer Garden,"{'lat': 39.7648799, 'lng': -104.9801926}",4.5,244
28,14th Star Brewing Co,14th Star Brewing Co.,"{'lat': 44.8144537, 'lng': -73.0815724}",4.8,118
